Date	IBEX	SAN.MC	BBVA.MC	REP.MC	ITX.MC	TL5.MC
06/04/2020	6844.299805	2.130789	2.811	7.725774	23.299999	3.284
07/04/2020	7002	2.144142	2.927	7.984243	24.49	3.378
08/04/2020	6951.799805	2.11219	2.959	7.888025	24.34	3.356
09/04/2020	7070.600098	2.064977	3.004	7.816333	25.26	3.35
14/04/2020	7108.600098	2.02301	2.935	7.588049	26.360001	3.37
15/04/2020	6839.5	1.908554	2.731	7.014512	25.76	3.326
16/04/2020	6763.399902	1.877651	2.624	6.916407	24.469999	3.298
17/04/2020	6875.799805	1.868876	2.664	7.344673	25.549999	3.4
20/04/2020	6831.5	1.860864	2.658	7.295621	25.059999	3.352
21/04/2020	6634.899902	1.783987	2.479	6.865468	24.35	3.31
22/04/2020	6719.799805	1.835302	2.585	6.974893	24	3.374
23/04/2020	6746.5	1.904739	2.704	7.395613	23.450001	3.338
24/04/2020	6613.899902	1.816035	2.593	7.303168	22.99	3.296
27/04/2020	6731.799805	1.878795	2.686	7.3692	23.780001	3.302
28/04/2020	6836.399902	1.968643	2.927	7.463532	23.32	3.24
29/04/2020	7055.700195	2.0645	3.162	8.020089	24.09	3.248
30/04/2020	6922.299805	2.0375	2.987	7.842746	23.25	3.274
04/05/2020	6673.299805	1.9594	2.8	7.231475	21.75	3.126
05/05/2020	6747.700195	1.991	2.8	8.186113	21.9	3.06
06/05/2020	6671.700195	1.9366	2.719	8.023862	22.219999	3.032
07/05/2020	6730.899902	1.959	2.693	8.276671	23.379999	3.15
08/05/2020	6783.100098	1.998	2.727	8.144607	23.120001	3.216
11/05/2020	6672.200195	1.9416	2.647	8.021976	23.110001	3.272
12/05/2020	6762.700195	1.9546	2.662	7.884251	24.33	3.3
13/05/2020	6631.399902	1.8736	2.541	7.612576	23.540001	3.3
14/05/2020	6545.600098	1.8712	2.609	7.71068	22.58	3.228
15/05/2020	6474.899902	1.8338	2.578	7.644649	22.440001	3.25
18/05/2020	6779.299805	1.931	2.722	8.150268	23.5	3.252
19/05/2020	6609.100098	1.8232	2.599	8.061595	23.059999	3.004
20/05/2020	6683.600098	1.8848	2.583	8.242712	23.35	2.936
21/05/2020	6686.100098	1.8582	2.566	7.967264	23.280001	2.942
22/05/2020	6697.5	1.8958	2.589	7.821992	23.15	3.056
25/05/2020	6856.799805	1.9366	2.65	7.921984	23.549999	3.124
26/05/2020	7003.899902	2.05	2.825	8.127627	23.83	3.186
27/05/2020	7174.5	2.15	2.921	8.37289	24.49	3.174
28/05/2020	7224.100098	2.1325	2.931	8.36723	25.35	3.294
29/05/2020	7096.5	2.0375	2.793	7.895571	25.049999	3.198
01/06/2020	7221.399902	2.0725	2.861	8.127627	25.17	3.232
02/06/2020	7408.100098	2.1635	3.005	8.467222	25.74	3.346
03/06/2020	7626.399902	2.2325	3.16	8.60872	26.74	3.536
04/06/2020	7566.799805	2.2695	3.212	8.533254	26.27	3.496
05/06/2020	7872.600098	2.527	3.527	8.98982	26.9	3.656
08/06/2020	7896.100098	2.555	3.55	9.17471	26.309999	3.824
09/06/2020	7752.299805	2.5005	3.408	8.712484	25.68	3.638
10/06/2020	7663.899902	2.4305	3.313	8.637019	26.17	3.408
11/06/2020	7278	2.2045	3.095	8.095554	24.790001	3.232
12/06/2020	7292.700195	2.213	3.129	8.195546	24.41	3.132
15/06/2020	7259.299805	2.1505	3.055	8.188	23.92	3.22
16/06/2020	7495.299805	2.25	3.153	8.42	24.76	3.202
17/06/2020	7478.700195	2.247	3.159	8.23	25.09	3.272
18/06/2020	7390.200195	2.186	3.101	8.206	24.75	3.234
19/06/2020	7414.200195	2.153	3.106	8.298	24.950001	3.19
22/06/2020	7345.700195	2.1295	3.063	8.132	24.48	3.112
23/06/2020	7438.399902	2.2345	3.185	8.3	24.5	3.204
24/06/2020	7195.5	2.135	3.032	7.868	23.99	3.092
25/06/2020	7270.299805	2.1885	3.071	8	24	3.19
26/06/2020	7178.399902	2.1215	2.998	7.77	23.75	3.152
29/06/2020	7278.100098	2.207	3.082	7.866	23.91	3.25
30/06/2020	7231.399902	2.1745	3.064	7.786	23.57	3.292
01/07/2020	7227.399902	2.143	3.008	7.886	23.49	3.24
02/07/2020	7498.600098	2.2855	3.227	8.036	24.33	3.326
03/07/2020	7403.5	2.2275	3.147	7.816	24	3.31
06/07/2020	7556.200195	2.337	3.307	7.974	24.4	3.304
07/07/2020	7447.399902	2.2675	3.226	7.87	23.85	3.31
08/07/2020	7326.399902	2.216	3.119	7.74	23.35	3.242
09/07/2020	7236.899902	2.1745	3.075	7.532	23.18	3.194
10/07/2020	7321.100098	2.22	3.146	7.624	23.129999	3.176
13/07/2020	7426.899902	2.246	3.205	7.784	23.35	3.202
14/07/2020	7352	2.224	3.169	7.986	22.77	3.236
15/07/2020	7487.600098	2.267	3.25	7.906	23.24	3.34
16/07/2020	7474.700195	2.2605	3.262	8.014	23	3.32
17/07/2020	7440.399902	2.215	3.216	7.874	22.99	3.266
